role_id,phase,primary_zone,secondary_zone,depth_line,lateral_bias,vertical_bias,start_delay_sec,move_duration_sec,easing,max_displacement,transition_movement,golden_window_behavior,win_ball_delay_sec,lose_ball_delay_sec
goalkeeper,possession,own_penalty_area,deep_build_up,own_box,0.5,0.85,0.2,1.5,ease-in-out,5,walk,hold_shape,0.2,0.5
goalkeeper,transition_pos,own_penalty_area,deep_build_up,own_box,0.5,0.9,0.1,1,ease-out,5,jog,support_press,0.1,0.5
goalkeeper,transition_neg,own_penalty_area,deep_build_up,own_box,0.5,0.95,0,1,ease-out,8,sprint,drop_deep,0.5,0
goalkeeper,defense,own_penalty_area,deep_build_up,own_box,0.5,0.95,0.2,1.5,linear,3,walk,hold_shape,0.5,0.2
sweeper_keeper,possession,deep_build_up,own_penalty_area,deep,0.5,0.75,0.2,1.5,ease-in-out,15,jog,support_press,0.2,0.5
sweeper_keeper,transition_pos,deep_build_up,own_penalty_area,deep,0.5,0.85,0.1,1.5,ease-out,10,jog,vertical_run,0.1,0.5
sweeper_keeper,transition_neg,own_penalty_area,deep_build_up,own_box,0.5,0.95,0,1,ease-out,15,sprint,drop_deep,0.5,0
sweeper_keeper,defense,own_penalty_area,deep_build_up,own_box,0.5,0.95,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
central_defender,possession,central_corridor,deep_build_up,deep,0.5,0.6,0.2,2,ease-in-out,10,jog,hold_shape,0.5,0.2
central_defender,transition_pos,central_corridor,deep_build_up,deep,0.5,0.7,0.1,1.5,ease-out,5,jog,support_press,0.1,0.5
central_defender,transition_neg,central_corridor,low_block_line,own_box,0.5,0.8,0,1,ease-out,15,sprint,drop_deep,0.5,0
central_defender,defense,central_corridor,low_block_line,own_box,0.5,0.85,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
ball_playing_defender,possession,central_corridor,half_space_inner,defensive_mid,0.5,0.6,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
ball_playing_defender,transition_pos,central_corridor,half_space_inner,deep,0.5,0.7,0.1,1.5,ease-out,10,jog,vertical_run,0.1,0.5
ball_playing_defender,transition_neg,central_corridor,low_block_line,own_box,0.5,0.8,0,1,ease-out,15,sprint,drop_deep,0.5,0
ball_playing_defender,defense,central_corridor,low_block_line,own_box,0.5,0.85,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
no_nonsense_centre_back,possession,central_corridor,deep_build_up,deep,0.5,0.6,0.3,2,ease-in-out,5,walk,hold_shape,0.5,0.2
no_nonsense_centre_back,transition_pos,central_corridor,deep_build_up,deep,0.5,0.7,0.2,1.5,ease-out,5,walk,hold_shape,0.2,0.5
no_nonsense_centre_back,transition_neg,central_corridor,low_block_line,own_box,0.5,0.8,0,1,ease-out,15,sprint,drop_deep,0.5,0
no_nonsense_centre_back,defense,central_corridor,low_block_line,own_box,0.5,0.85,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
libero,possession,central_corridor,deep_build_up,central_mid,0.5,0.45,0.2,2,ease-in-out,20,jog,support_press,0.2,0.2
libero,transition_pos,central_corridor,deep_build_up,defensive_mid,0.5,0.55,0.1,1.5,ease-out,15,jog,vertical_run,0.1,0.5
libero,transition_neg,central_corridor,low_block_line,own_box,0.5,0.8,0,1,ease-out,20,sprint,drop_deep,0.5,0
libero,defense,central_corridor,low_block_line,own_box,0.5,0.85,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
wide_centre_back,possession,half_space_outer,defensive_wide,deep,0.1,0.6,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
wide_centre_back,transition_pos,half_space_outer,defensive_wide,deep,0.1,0.7,0.1,1.5,ease-out,10,jog,vertical_run,0.1,0.5
wide_centre_back,transition_neg,half_space_inner,low_block_line,own_box,0.1,0.8,0,1,ease-out,15,sprint,drop_deep,0.5,0
wide_centre_back,defense,half_space_inner,low_block_line,own_box,0.1,0.85,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
full_back,possession,touchline,overlap_run_channel,central_mid,0.1,0.3,0.2,2,ease-in-out,20,jog,support_press,0.2,0.2
full_back,transition_pos,defensive_wide,touchline,defensive_mid,0.1,0.5,0.1,1.5,ease-out,15,sprint,vertical_run,0.1,0.5
full_back,transition_neg,defensive_wide,low_block_line,deep,0.1,0.75,0,1,ease-out,20,sprint,drop_deep,0.5,0
full_back,defense,defensive_wide,low_block_line,own_box,0.1,0.8,0.2,1.5,linear,8,jog,hold_shape,0.5,0.2
wing_back,possession,touchline,overlap_run_channel,attacking_mid,0.1,0.3,0.2,2,ease-in-out,25,sprint,vertical_run,0.2,0.2
wing_back,transition_pos,touchline,overlap_run_channel,defensive_mid,0.1,0.5,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
wing_back,transition_neg,defensive_wide,touchline,deep,0.1,0.75,0,1,ease-out,25,sprint,drop_deep,0.5,0
wing_back,defense,defensive_wide,low_block_line,own_box,0.1,0.8,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
no_nonsense_full_back,possession,defensive_wide,touchline,deep,0.1,0.65,0.3,2,ease-in-out,10,jog,hold_shape,0.5,0.2
no_nonsense_full_back,transition_pos,defensive_wide,touchline,deep,0.1,0.5,0.2,1.5,ease-out,10,jog,support_press,0.2,0.5
no_nonsense_full_back,transition_neg,defensive_wide,low_block_line,own_box,0.1,0.75,0,1,ease-out,15,sprint,drop_deep,0.5,0
no_nonsense_full_back,defense,defensive_wide,low_block_line,own_box,0.1,0.8,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
complete_wing_back,possession,touchline,attacking_box,final_third,0.1,0.3,0.2,1.5,ease-in-out,30,sprint,vertical_run,0.2,0.2
complete_wing_back,transition_pos,touchline,overlap_run_channel,defensive_mid,0.1,0.5,0.1,1,ease-out,25,sprint,vertical_run,0.1,0.5
complete_wing_back,transition_neg,defensive_wide,touchline,deep,0.1,0.75,0,1,ease-out,30,sprint,immediate_press,0.5,0
complete_wing_back,defense,defensive_wide,low_block_line,own_box,0.1,0.8,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
inverted_wing_back,possession,half_space_inner,central_corridor,central_mid,0.4,0.45,0.2,2,ease-in-out,20,jog,support_press,0.2,0.2
inverted_wing_back,transition_pos,underlap_channel,half_space_inner,defensive_mid,0.35,0.5,0.1,1.5,ease-out,15,sprint,vertical_run,0.1,0.5
inverted_wing_back,transition_neg,defensive_wide,half_space_outer,deep,0.35,0.75,0,1,ease-out,20,sprint,immediate_press,0.5,0
inverted_wing_back,defense,defensive_wide,low_block_line,own_box,0.35,0.8,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
inverted_full_back,possession,half_space_inner,central_corridor,deep,0.4,0.6,0.2,2,ease-in-out,15,jog,hold_shape,0.2,0.2
inverted_full_back,transition_pos,underlap_channel,half_space_inner,deep,0.35,0.65,0.1,1.5,ease-out,10,jog,support_press,0.1,0.5
inverted_full_back,transition_neg,defensive_wide,half_space_outer,deep,0.35,0.75,0,1,ease-out,15,sprint,drop_deep,0.5,0
inverted_full_back,defense,defensive_wide,low_block_line,own_box,0.35,0.8,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
