role_id,phase,primary_zone,secondary_zone,depth_line,lateral_bias,vertical_bias,start_delay_sec,move_duration_sec,easing,max_displacement,transition_movement,golden_window_behavior,win_ball_delay_sec,lose_ball_delay_sec
defensive_midfielder,possession,central_corridor,deep_build_up,defensive_mid,0.5,0.45,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
defensive_midfielder,transition_pos,central_corridor,mid_block_line,defensive_mid,0.5,0.6,0.1,1.5,ease-out,10,jog,support_press,0.1,0.5
defensive_midfielder,transition_neg,central_corridor,low_block_line,deep,0.5,0.7,0,1,ease-out,15,sprint,hold_shape,0.5,0
defensive_midfielder,defense,central_corridor,low_block_line,defensive_mid,0.5,0.75,0.2,1.5,linear,8,jog,hold_shape,0.5,0.2
deep_lying_playmaker,possession,central_corridor,deep_build_up,defensive_mid,0.5,0.45,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
deep_lying_playmaker,transition_pos,central_corridor,deep_build_up,defensive_mid,0.5,0.6,0.1,1.5,ease-out,10,jog,vertical_run,0.1,0.5
deep_lying_playmaker,transition_neg,central_corridor,mid_block_line,deep,0.5,0.7,0,1,ease-out,15,sprint,drop_deep,0.5,0
deep_lying_playmaker,defense,central_corridor,low_block_line,defensive_mid,0.5,0.75,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
anchor,possession,central_corridor,deep_build_up,defensive_mid,0.5,0.45,0.3,2,ease-in-out,10,walk,hold_shape,0.2,0.2
anchor,transition_pos,central_corridor,deep_build_up,defensive_mid,0.5,0.6,0.2,1.5,ease-out,8,jog,hold_shape,0.1,0.5
anchor,transition_neg,central_corridor,low_block_line,deep,0.5,0.7,0,1,ease-out,15,sprint,drop_deep,0.5,0
anchor,defense,central_corridor,low_block_line,defensive_mid,0.5,0.75,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
half_back,possession,central_corridor,deep_build_up,deep,0.5,0.65,0.2,2,ease-in-out,15,jog,hold_shape,0.2,0.2
half_back,transition_pos,central_corridor,deep_build_up,deep,0.5,0.6,0.1,1.5,ease-out,10,jog,support_press,0.1,0.5
half_back,transition_neg,central_corridor,low_block_line,deep,0.5,0.7,0,1,ease-out,15,sprint,drop_deep,0.5,0
half_back,defense,central_corridor,low_block_line,defensive_mid,0.5,0.75,0.2,1.5,linear,8,jog,hold_shape,0.5,0.2
regista,possession,central_corridor,zone_10,defensive_mid,0.5,0.45,0.1,2,ease-in-out,20,jog,vertical_run,0.2,0.2
regista,transition_pos,central_corridor,deep_build_up,defensive_mid,0.5,0.6,0.1,1.5,ease-out,15,jog,vertical_run,0.1,0.5
regista,transition_neg,central_corridor,mid_block_line,deep,0.5,0.7,0,1,ease-out,15,sprint,drop_deep,0.5,0
regista,defense,central_corridor,low_block_line,defensive_mid,0.5,0.75,0.2,1.5,linear,5,jog,hold_shape,0.5,0.2
segundo_volante,possession,underlap_channel,attacking_box,attacking_mid,0.2,0.25,0.2,1.5,ease-in-out,25,sprint,vertical_run,0.2,0.2
segundo_volante,transition_pos,half_space_inner,zone_14,central_mid,0.2,0.6,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
segundo_volante,transition_neg,half_space_inner,mid_block_line,defensive_mid,0.2,0.7,0,1,ease-out,25,sprint,immediate_press,0.5,0
segundo_volante,defense,half_space_inner,low_block_line,defensive_mid,0.2,0.75,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
