role_id,phase,primary_zone,secondary_zone,depth_line,lateral_bias,vertical_bias,start_delay_sec,move_duration_sec,easing,max_displacement,transition_movement,golden_window_behavior,win_ball_delay_sec,lose_ball_delay_sec
winger,possession,touchline,attacking_box,final_third,0.1,0.2,0.2,1.5,ease-in-out,30,sprint,vertical_run,0.2,0.2
winger,transition_pos,touchline,overlap_run_channel,attacking_mid,0.1,0.35,0.1,1,ease-out,25,sprint,vertical_run,0.1,0.5
winger,transition_neg,defensive_wide,mid_block_line,defensive_mid,0.1,0.55,0,1,ease-out,20,sprint,immediate_press,0.5,0
winger,defense,defensive_wide,mid_block_line,defensive_mid,0.1,0.6,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
inverted_winger,possession,half_space_inner,attacking_box,final_third,0.25,0.2,0.2,1.5,ease-in-out,25,sprint,vertical_run,0.2,0.2
inverted_winger,transition_pos,half_space_inner,zone_14,attacking_mid,0.25,0.35,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
inverted_winger,transition_neg,half_space_outer,mid_block_line,defensive_mid,0.25,0.55,0,1,ease-out,20,sprint,immediate_press,0.5,0
inverted_winger,defense,half_space_outer,mid_block_line,defensive_mid,0.25,0.6,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
inside_forward,possession,half_space_inner,attacking_box,final_third,0.25,0.2,0.1,1.5,ease-in-out,30,sprint,vertical_run,0.2,0.2
inside_forward,transition_pos,half_space_inner,zone_14,attacking_mid,0.25,0.35,0.1,1,ease-out,25,sprint,vertical_run,0.1,0.5
inside_forward,transition_neg,half_space_outer,press_trigger_line,central_mid,0.25,0.55,0,1,ease-out,20,sprint,immediate_press,0.5,0
inside_forward,defense,half_space_outer,mid_block_line,defensive_mid,0.25,0.6,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
wide_playmaker,possession,half_space_inner,zone_14,final_third,0.1,0.2,0.2,2,ease-in-out,20,jog,support_press,0.2,0.2
wide_playmaker,transition_pos,half_space_inner,zone_14,attacking_mid,0.1,0.35,0.1,1.5,ease-out,15,jog,support_press,0.1,0.5
wide_playmaker,transition_neg,defensive_wide,mid_block_line,central_mid,0.1,0.55,0,1,ease-out,15,sprint,hold_shape,0.5,0
wide_playmaker,defense,defensive_wide,mid_block_line,defensive_mid,0.1,0.6,0.2,1.5,linear,8,jog,hold_shape,0.5,0.2
defensive_winger,possession,touchline,overlap_run_channel,attacking_mid,0.1,0.2,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
defensive_winger,transition_pos,touchline,overlap_run_channel,attacking_mid,0.1,0.35,0.1,1.5,ease-out,15,jog,support_press,0.1,0.5
defensive_winger,transition_neg,defensive_wide,press_trigger_line,defensive_mid,0.1,0.55,0,1,ease-out,25,sprint,immediate_press,0.5,0
defensive_winger,defense,defensive_wide,low_block_line,defensive_mid,0.1,0.7,0.1,1.5,linear,15,sprint,immediate_press,0.5,0.2
wide_target_forward,possession,touchline,attacking_box,final_third,0.1,0.2,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
wide_target_forward,transition_pos,touchline,attacking_box,attacking_mid,0.1,0.35,0.1,1.5,ease-out,15,jog,vertical_run,0.1,0.5
wide_target_forward,transition_neg,defensive_wide,mid_block_line,central_mid,0.1,0.55,0,1,ease-out,15,sprint,hold_shape,0.5,0
wide_target_forward,defense,defensive_wide,mid_block_line,defensive_mid,0.1,0.6,0.2,1.5,linear,8,jog,hold_shape,0.5,0.2
raumdeuter,possession,half_space_outer,attacking_box,final_third,0.2,0.2,0.1,1.5,ease-in-out,25,sprint,vertical_run,0.2,0.2
raumdeuter,transition_pos,half_space_outer,zone_14,attacking_mid,0.2,0.35,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
raumdeuter,transition_neg,defensive_wide,mid_block_line,central_mid,0.2,0.55,0,1,ease-out,15,sprint,hold_shape,0.5,0
raumdeuter,defense,defensive_wide,mid_block_line,defensive_mid,0.2,0.6,0.2,1.5,linear,8,jog,hold_shape,0.5,0.2
wide_midfielder,possession,touchline,overlap_run_channel,central_mid,0.1,0.2,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
wide_midfielder,transition_pos,touchline,overlap_run_channel,attacking_mid,0.1,0.35,0.1,1.5,ease-out,15,jog,support_press,0.1,0.5
wide_midfielder,transition_neg,defensive_wide,mid_block_line,defensive_mid,0.1,0.55,0,1,ease-out,20,sprint,hold_shape,0.5,0
wide_midfielder,defense,defensive_wide,low_block_line,defensive_mid,0.1,0.6,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
