role_id,phase,primary_zone,secondary_zone,depth_line,lateral_bias,vertical_bias,start_delay_sec,move_duration_sec,easing,max_displacement,transition_movement,golden_window_behavior,win_ball_delay_sec,lose_ball_delay_sec
central_midfielder,possession,central_corridor,zone_14,central_mid,0.5,0.35,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
central_midfielder,transition_pos,central_corridor,zone_14,central_mid,0.5,0.45,0.1,1.5,ease-out,15,jog,support_press,0.1,0.5
central_midfielder,transition_neg,central_corridor,mid_block_line,defensive_mid,0.5,0.65,0,1,ease-out,20,sprint,immediate_press,0.5,0
central_midfielder,defense,central_corridor,mid_block_line,defensive_mid,0.5,0.7,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
ball_winning_midfielder,possession,central_corridor,mid_block_line,central_mid,0.5,0.35,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
ball_winning_midfielder,transition_pos,central_corridor,mid_block_line,central_mid,0.5,0.45,0.1,1.5,ease-out,10,jog,support_press,0.1,0.5
ball_winning_midfielder,transition_neg,central_corridor,press_trigger_line,central_mid,0.5,0.65,0,1,ease-out,25,sprint,immediate_press,0.5,0
ball_winning_midfielder,defense,central_corridor,mid_block_line,defensive_mid,0.5,0.7,0.2,1.5,linear,15,sprint,immediate_press,0.5,0.2
roaming_playmaker,possession,central_corridor,half_space_inner,central_mid,0.5,0.35,0.2,2,ease-in-out,25,sprint,support_press,0.2,0.2
roaming_playmaker,transition_pos,central_corridor,zone_14,attacking_mid,0.5,0.45,0.1,1.5,ease-out,20,sprint,vertical_run,0.1,0.5
roaming_playmaker,transition_neg,central_corridor,mid_block_line,central_mid,0.5,0.65,0,1,ease-out,20,sprint,immediate_press,0.5,0
roaming_playmaker,defense,central_corridor,mid_block_line,defensive_mid,0.5,0.7,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
box_to_box_midfielder,possession,attacking_box,central_corridor,attacking_mid,0.5,0.2,0.2,1.5,ease-in-out,30,sprint,vertical_run,0.2,0.2
box_to_box_midfielder,transition_pos,zone_14,central_corridor,central_mid,0.5,0.45,0.1,1,ease-out,25,sprint,vertical_run,0.1,0.5
box_to_box_midfielder,transition_neg,central_corridor,own_penalty_area,defensive_mid,0.5,0.65,0,1,ease-out,30,sprint,drop_deep,0.5,0
box_to_box_midfielder,defense,central_corridor,own_penalty_area,defensive_mid,0.5,0.75,0.2,1.5,linear,15,sprint,hold_shape,0.5,0.2
mezzala,possession,half_space_inner,half_space_outer,attacking_mid,0.2,0.35,0.2,1.5,ease-in-out,25,sprint,vertical_run,0.2,0.2
mezzala,transition_pos,half_space_inner,underlap_channel,attacking_mid,0.3,0.45,0.1,1.5,ease-out,20,sprint,vertical_run,0.1,0.5
mezzala,transition_neg,half_space_inner,mid_block_line,central_mid,0.3,0.65,0,1,ease-out,20,sprint,immediate_press,0.5,0
mezzala,defense,half_space_inner,mid_block_line,central_mid,0.3,0.7,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
carrilero,possession,half_space_inner,central_corridor,central_mid,0.3,0.35,0.2,2,ease-in-out,20,jog,support_press,0.2,0.2
carrilero,transition_pos,half_space_inner,central_corridor,central_mid,0.3,0.45,0.1,1.5,ease-out,15,jog,support_press,0.1,0.5
carrilero,transition_neg,half_space_inner,defensive_wide,defensive_mid,0.3,0.65,0,1,ease-out,20,sprint,hold_shape,0.5,0
carrilero,defense,half_space_inner,defensive_wide,defensive_mid,0.3,0.7,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
attacking_midfielder,possession,zone_14,attacking_box,final_third,0.5,0.2,0.2,2,ease-in-out,20,jog,vertical_run,0.2,0.2
attacking_midfielder,transition_pos,zone_14,central_corridor,attacking_mid,0.5,0.35,0.1,1,ease-out,15,sprint,vertical_run,0.1,0.5
attacking_midfielder,transition_neg,zone_14,press_trigger_line,central_mid,0.5,0.55,0,1,ease-out,15,sprint,immediate_press,0.5,0
attacking_midfielder,defense,central_corridor,mid_block_line,central_mid,0.5,0.6,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
advanced_playmaker,possession,zone_14,half_space_inner,final_third,0.5,0.2,0.2,2,ease-in-out,25,jog,support_press,0.2,0.2
advanced_playmaker,transition_pos,zone_14,half_space_inner,attacking_mid,0.5,0.35,0.1,1.5,ease-out,20,jog,vertical_run,0.1,0.5
advanced_playmaker,transition_neg,zone_10,central_corridor,central_mid,0.5,0.55,0,1,ease-out,15,sprint,immediate_press,0.5,0
advanced_playmaker,defense,central_corridor,mid_block_line,central_mid,0.5,0.6,0.2,1.5,linear,8,jog,hold_shape,0.5,0.2
enganche,possession,zone_14,central_corridor,final_third,0.5,0.2,0.3,2,ease-in-out,10,walk,support_press,0.2,0.2
enganche,transition_pos,zone_14,central_corridor,attacking_mid,0.5,0.35,0.2,1.5,ease-out,8,walk,hold_shape,0.1,0.5
enganche,transition_neg,zone_10,central_corridor,central_mid,0.5,0.55,0.1,1.5,ease-out,10,jog,drop_deep,0.5,0
enganche,defense,central_corridor,mid_block_line,central_mid,0.5,0.6,0.2,1.5,linear,5,walk,hold_shape,0.5,0.2
shadow_striker,possession,attacking_box,zone_14,final_third,0.5,0.2,0.1,1.5,ease-in-out,25,sprint,vertical_run,0.2,0.2
shadow_striker,transition_pos,zone_14,attacking_box,attacking_mid,0.5,0.35,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
shadow_striker,transition_neg,press_trigger_line,zone_14,attacking_mid,0.5,0.55,0,1,ease-out,20,sprint,immediate_press,0.5,0
shadow_striker,defense,press_trigger_line,mid_block_line,central_mid,0.5,0.6,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
