role_id,phase,primary_zone,secondary_zone,depth_line,lateral_bias,vertical_bias,start_delay_sec,move_duration_sec,easing,max_displacement,transition_movement,golden_window_behavior,win_ball_delay_sec,lose_ball_delay_sec
advanced_forward,possession,attacking_box,central_corridor,final_third,0.5,0.1,0.1,1.5,ease-in-out,25,sprint,vertical_run,0.2,0.2
advanced_forward,transition_pos,attacking_box,central_corridor,final_third,0.5,0.2,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
advanced_forward,transition_neg,press_trigger_line,central_corridor,attacking_mid,0.5,0.45,0,1,ease-out,15,sprint,immediate_press,0.5,0
advanced_forward,defense,press_trigger_line,central_corridor,attacking_mid,0.5,0.5,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
deep_lying_forward,possession,zone_14,central_corridor,final_third,0.5,0.25,0.2,2,ease-in-out,15,jog,support_press,0.2,0.2
deep_lying_forward,transition_pos,zone_14,central_corridor,final_third,0.5,0.2,0.1,1.5,ease-out,15,jog,support_press,0.1,0.5
deep_lying_forward,transition_neg,press_trigger_line,central_corridor,attacking_mid,0.5,0.45,0,1,ease-out,15,sprint,immediate_press,0.5,0
deep_lying_forward,defense,press_trigger_line,central_corridor,attacking_mid,0.5,0.5,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
poacher,possession,attacking_box,central_corridor,final_third,0.5,0.1,0.1,1.5,ease-in-out,10,sprint,vertical_run,0.2,0.2
poacher,transition_pos,attacking_box,central_corridor,final_third,0.5,0.2,0.1,1,ease-out,15,sprint,vertical_run,0.1,0.5
poacher,transition_neg,press_trigger_line,central_corridor,attacking_mid,0.5,0.45,0,1,ease-out,10,jog,drop_deep,0.5,0
poacher,defense,press_trigger_line,central_corridor,attacking_mid,0.5,0.5,0.2,1.5,linear,5,walk,hold_shape,0.5,0.2
target_forward,possession,central_corridor,attacking_box,final_third,0.5,0.1,0.2,2,ease-in-out,15,jog,hold_shape,0.2,0.2
target_forward,transition_pos,central_corridor,attacking_box,final_third,0.5,0.2,0.1,1.5,ease-out,15,jog,vertical_run,0.1,0.5
target_forward,transition_neg,press_trigger_line,central_corridor,attacking_mid,0.5,0.45,0,1,ease-out,10,jog,hold_shape,0.5,0
target_forward,defense,press_trigger_line,central_corridor,attacking_mid,0.5,0.5,0.2,1.5,linear,8,walk,hold_shape,0.5,0.2
complete_forward,possession,attacking_box,zone_14,final_third,0.5,0.1,0.1,1.5,ease-in-out,25,sprint,vertical_run,0.2,0.2
complete_forward,transition_pos,attacking_box,zone_14,final_third,0.5,0.2,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
complete_forward,transition_neg,press_trigger_line,central_corridor,attacking_mid,0.5,0.45,0,1,ease-out,20,sprint,immediate_press,0.5,0
complete_forward,defense,press_trigger_line,central_corridor,attacking_mid,0.5,0.5,0.2,1.5,linear,15,jog,hold_shape,0.5,0.2
pressing_forward,possession,attacking_box,central_corridor,final_third,0.5,0.1,0.2,1.5,ease-in-out,20,sprint,vertical_run,0.2,0.2
pressing_forward,transition_pos,attacking_box,central_corridor,final_third,0.5,0.2,0.1,1,ease-out,20,sprint,vertical_run,0.1,0.5
pressing_forward,transition_neg,press_trigger_line,attacking_box,attacking_mid,0.5,0.45,0,1,ease-out,30,sprint,immediate_press,0.5,0
pressing_forward,defense,press_trigger_line,central_corridor,attacking_mid,0.5,0.5,0.1,1.5,linear,25,sprint,immediate_press,0.5,0.2
false_nine,possession,zone_14,zone_10,final_third,0.5,0.35,0.2,2,ease-in-out,20,jog,support_press,0.2,0.2
false_nine,transition_pos,zone_14,attacking_box,final_third,0.5,0.2,0.1,1.5,ease-out,15,jog,vertical_run,0.1,0.5
false_nine,transition_neg,central_corridor,mid_block_line,attacking_mid,0.5,0.45,0,1,ease-out,15,jog,drop_deep,0.5,0
false_nine,defense,central_corridor,mid_block_line,attacking_mid,0.5,0.5,0.2,1.5,linear,10,jog,hold_shape,0.5,0.2
trequartista,possession,zone_14,half_space_inner,final_third,0.5,0.1,0.1,2,ease-in-out,25,jog,vertical_run,0.2,0.2
trequartista,transition_pos,zone_14,attacking_box,final_third,0.5,0.2,0.1,1.5,ease-out,20,jog,vertical_run,0.1,0.5
trequartista,transition_neg,press_trigger_line,central_corridor,attacking_mid,0.5,0.45,0.2,1.5,ease-out,10,walk,hold_shape,0.5,0
trequartista,defense,press_trigger_line,central_corridor,attacking_mid,0.5,0.5,0.3,1.5,linear,5,walk,hold_shape,0.5,0.2
